0;0;0;0;land;false;unknown;0
1;244;127;243;land;false;marsh;1
2;160;235;166;land;false;desert;1
3;218;135;162;land;false;marsh;1
4;228;166;160;land;false;forest;1
5;191;208;233;land;false;mountain;1
6;184;238;137;land;false;mountain;1
7;238;198;211;land;false;jungle;1
8;175;230;129;land;false;desert;1
9;248;158;99;land;false;jungle;1
10;245;222;71;land;false;marsh;1
11;204;244;62;land;false;marsh;1
12;250;246;16;land;false;marsh;1
13;254;110;153;land;false;desert;1
14;175;247;218;land;false;marsh;1
15;228;250;123;land;false;forest;1
16;249;240;12;land;false;marsh;1
17;227;168;113;land;false;jungle;1
18;242;219;85;land;false;marsh;1
19;251;224;254;land;false;forest;1
20;115;237;239;land;false;marsh;1
21;234;118;152;land;false;marsh;1
22;75;217;238;land;false;marsh;1
23;158;205;188;land;false;marsh;1
24;189;233;79;land;false;marsh;1
25;200;105;201;land;false;marsh;1
26;155;126;232;land;false;desert;1
27;187;236;118;land;false;marsh;1
28;71;192;239;land;false;forest;1
29;140;254;198;land;false;marsh;1
30;232;192;91;land;false;marsh;1
31;158;221;133;land;false;forest;1
32;223;162;163;land;false;marsh;1
33;102;220;253;land;false;marsh;1
34;167;244;151;land;false;desert;1
35;191;215;158;land;false;desert;1
36;152;127;237;land;false;marsh;1
37;170;163;232;land;false;marsh;1
38;234;226;197;land;false;jungle;1
39;239;108;194;land;false;marsh;1
40;227;61;242;land;false;forest;1
41;239;75;227;land;false;jungle;1
42;221;251;232;land;false;marsh;1
43;183;222;171;land;false;jungle;1
44;214;250;38;land;false;marsh;1
45;217;126;223;land;false;desert;1
46;162;215;187;land;false;desert;1
47;184;188;251;land;false;forest;1
48;151;162;229;land;false;marsh;1
49;237;106;207;land;false;forest;1
50;238;253;210;land;false;desert;1
51;238;254;203;land;false;marsh;1
52;251;231;239;land;false;marsh;1
53;227;218;119;land;false;marsh;1
54;184;217;147;land;false;desert;1
55;198;174;179;land;false;marsh;1
56;173;166;191;land;false;marsh;1
57;197;77;254;land;false;marsh;1
58;163;174;226;land;false;marsh;1
59;181;182;174;land;false;desert;1
60;187;214;169;land;false;forest;1
61;95;214;238;land;false;forest;1
62;203;169;229;land;false;marsh;1
63;238;168;110;land;false;marsh;1
64;70;219;234;land;true;mountain;1
65;237;253;42;land;false;desert;1
66;237;247;195;land;false;marsh;1
67;210;127;201;land;false;forest;1
68;203;212;138;land;false;marsh;1
69;225;150;249;land;false;desert;1
70;237;233;234;land;false;marsh;1
71;140;220;154;land;false;forest;1
72;211;236;190;land;false;desert;1
73;137;145;251;land;false;marsh;1
74;212;126;249;land;false;forest;1
75;149;238;124;land;false;jungle;1
76;173;222;242;land;false;marsh;1
